Age,Years_of_Experience,Education_Level,Job_Role,City_Tier,Salary
77,57.9,High School,Junior,Tier 2,349055.0
21,0.8,High School,Junior,Tier 3,455214.0
24,1.8,Bachelor,Mid,Tier 3,802780.0
30,8.2,Bachelor,Senior,Tier 3,961273.0
51,31.0,Bachelor,Mid,Tier 2,679835.0
22,0.0,Bachelor,Mid,Tier 3,757734.0
23,2.5,Bachelor,Mid,Tier 3,807172.0
47,28.0,PhD,Manager,Tier 1,3103280.0
17,0.0,High School,Mid,Tier 1,541713.0
48,29.3,Bachelor,Junior,Tier 3,1159102.0
43,23.7,Bachelor,Manager,Tier 2,2524990.0
34,12.5,High School,Mid,Tier 2,476562.0
19,0.0,High School,Mid,Tier 2,368028.0
42,20.5,Bachelor,Manager,Tier 1,1974079.0
23,0.5,Bachelor,Manager,Tier 1,2203462.0
61,37.4,Master,Lead,Tier 2,2385032.0
63,42.1,High School,Junior,Tier 3,468087.0
65,41.0,High School,Mid,Tier 3,720672.0
37,14.3,Bachelor,Mid,Tier 3,1447201.0
41,18.3,Bachelor,Senior,Tier 2,1670814.0
35,10.3,Bachelor,Senior,Tier 1,757674.0
21,0.3,High School,Mid,Tier 2,871874.0
48,25.5,Bachelor,Mid,Tier 1,725132.0
51,31.6,Bachelor,Mid,Tier 2,1324524.0
43,20.5,Bachelor,Mid,Tier 3,947791.0
22,0.0,Bachelor,Lead,Tier 2,1469171.0
56,32.2,Bachelor,Mid,Tier 2,1082176.0
47,25.1,High School,Mid,Tier 2,500277.0
26,4.1,Bachelor,Mid,Tier 1,874367.0
39,18.5,Bachelor,Junior,Tier 3,520563.0
45,23.1,Bachelor,Junior,Tier 2,614547.0
49,31.0,High School,Junior,Tier 3,294311.0
23,1.9,High School,Junior,Tier 2,324431.0
69,45.0,High School,Mid,Tier 2,754843.0
41,16.9,Master,Manager,Tier 2,2892153.0
40,19.1,High School,Manager,Tier 1,1950796.0
25,1.0,High School,Junior,Tier 3,204112.0
52,31.2,High School,Junior,Tier 2,207490.0
28,7.8,Bachelor,Lead,Tier 2,1354275.0
50,29.8,Bachelor,Mid,Tier 1,1302478.0
21,0.0,Bachelor,Senior,Tier 1,1037670.0
48,27.8,Bachelor,Mid,Tier 1,1387961.0
27,5.6,Master,Lead,Tier 1,2325680.0
63,39.8,High School,Mid,Tier 3,776428.0
47,24.7,PhD,Lead,Tier 3,2423325.0
37,15.9,PhD,Lead,Tier 2,2305990.0
28,4.7,Bachelor,Mid,Tier 2,837542.0
58,36.6,High School,Mid,Tier 1,622111.0
41,21.9,Bachelor,Mid,Tier 2,822507.0
67,46.9,Bachelor,Mid,Tier 3,894723.0
62,40.2,High School,Mid,Tier 2,565491.0
28,6.5,Bachelor,Junior,Tier 3,1324739.0
26,2.9,High School,Junior,Tier 3,229034.0
46,23.0,Master,Lead,Tier 1,2324917.0
29,3.9,High School,Mid,Tier 2,521905.0
39,17.5,Bachelor,Mid,Tier 3,1376954.0
25,4.4,Master,Lead,Tier 1,1639458.0
20,0.0,Bachelor,Mid,Tier 1,707909.0
21,0.0,Bachelor,Mid,Tier 2,673047.0
25,3.1,Bachelor,Lead,Tier 1,1363056.0
44,24.7,Master,Lead,Tier 1,2249435.0
37,16.8,High School,Mid,Tier 2,676115.0
50,27.9,Master,Manager,Tier 2,3018473.0
29,11.0,High School,Mid,Tier 2,569298.0
18,0.0,Bachelor,Mid,Tier 1,565756.0
32,9.0,Bachelor,Manager,Tier 2,2106695.0
58,35.5,Bachelor,Mid,Tier 3,571275.0
50,29.4,High School,Mid,Tier 2,1392207.0
29,5.2,Bachelor,Junior,Tier 3,640959.0
58,37.7,High School,Manager,Tier 2,2408983.0
29,7.2,Bachelor,Junior,Tier 1,359789.0
36,14.7,High School,Mid,Tier 3,1104077.0
21,0.0,High School,Mid,Tier 1,663734.0
49,25.4,High School,Manager,Tier 1,1807692.0
60,34.0,Master,Lead,Tier 1,1704206.0
39,20.0,Bachelor,Mid,Tier 1,1477564.0
50,29.9,Bachelor,Mid,Tier 2,1281408.0
30,9.3,Bachelor,Mid,Tier 2,868030.0
55,33.7,High School,Junior,Tier 2,544958.0
64,37.4,High School,Mid,Tier 2,667889.0
29,5.5,Bachelor,Lead,Tier 1,1515432.0
40,17.5,Bachelor,Manager,Tier 1,2582523.0
42,17.8,High School,Mid,Tier 3,858684.0
55,29.6,High School,Mid,Tier 1,482182.0
43,19.0,High School,Mid,Tier 2,554381.0
28,6.1,High School,Mid,Tier 1,712627.0
46,24.1,Bachelor,Senior,Tier 2,1604866.0
34,13.8,High School,Junior,Tier 1,363988.0
47,29.0,Master,Mid,Tier 1,1336656.0
43,22.4,Master,Manager,Tier 1,2143688.0
24,1.6,Bachelor,Mid,Tier 2,1039739.0
21,2.6,High School,Mid,Tier 3,556834.0
65,39.8,Bachelor,Mid,Tier 2,1503481.0
20,0.0,Bachelor,Junior,Tier 3,490099.0
31,7.2,Master,Mid,Tier 3,772112.0
38,17.6,High School,Mid,Tier 1,506478.0
22,0.3,Bachelor,Mid,Tier 1,837032.0
20,0.0,Bachelor,Lead,Tier 1,1188101.0
44,20.5,Bachelor,Mid,Tier 3,984556.0
44,19.5,Master,Lead,Tier 2,1657261.0
41,16.5,PhD,Lead,Tier 2,2385140.0
38,19.1,High School,Mid,Tier 3,504778.0
21,0.0,Bachelor,Junior,Tier 2,487400.0
24,5.5,Bachelor,Mid,Tier 3,888077.0
24,0.2,Master,Lead,Tier 1,1418166.0
28,7.0,High School,Mid,Tier 3,593385.0
39,17.5,Bachelor,Manager,Tier 2,2185483.0
48,27.8,Bachelor,Mid,Tier 1,506878.0
24,2.5,High School,Senior,Tier 1,824605.0
50,30.0,High School,Lead,Tier 1,1718384.0
50,29.1,Bachelor,Mid,Tier 2,617842.0
68,43.8,Bachelor,Mid,Tier 2,775984.0
31,10.5,Master,Lead,Tier 2,1692906.0
22,0.0,High School,Mid,Tier 2,550814.0
25,1.4,High School,Junior,Tier 2,220078.0
28,7.4,Bachelor,Mid,Tier 1,646111.0
17,0.0,High School,Mid,Tier 2,647632.0
24,1.0,PhD,Lead,Tier 2,1884225.0
20,0.0,High School,Mid,Tier 2,458367.0
45,20.2,Bachelor,Mid,Tier 2,1291449.0
44,18.4,Bachelor,Mid,Tier 3,851081.0
57,34.5,High School,Mid,Tier 1,624105.0
33,12.6,Bachelor,Mid,Tier 2,1247053.0
22,0.0,Bachelor,Senior,Tier 2,1080644.0
41,21.9,High School,Junior,Tier 2,332569.0
51,28.6,Bachelor,Manager,Tier 1,1972485.0
46,23.6,Bachelor,Lead,Tier 1,1465844.0
52,29.4,High School,Junior,Tier 2,268227.0
50,30.0,Bachelor,Mid,Tier 2,1297160.0
26,2.1,Bachelor,Mid,Tier 3,890641.0
17,0.0,High School,Mid,Tier 2,896353.0
64,40.9,Bachelor,Manager,Tier 2,1844401.0
51,27.9,High School,Senior,Tier 1,1394643.0
28,6.1,High School,Lead,Tier 1,1435633.0
51,28.8,Bachelor,Mid,Tier 2,599335.0
39,19.1,Bachelor,Mid,Tier 3,734662.0
48,26.0,Bachelor,Junior,Tier 2,765653.0
44,23.1,Bachelor,Junior,Tier 1,1062649.0
47,25.3,High School,Junior,Tier 3,369840.0
52,32.8,High School,Mid,Tier 3,445483.0
58,35.4,Bachelor,Mid,Tier 3,832354.0
19,0.0,High School,Junior,Tier 2,185333.0
40,19.5,Bachelor,Senior,Tier 2,1567045.0
23,0.4,Bachelor,Mid,Tier 1,594287.0
31,10.0,Bachelor,Junior,Tier 3,511446.0
40,22.0,Bachelor,Manager,Tier 3,2872672.0
48,24.0,Bachelor,Mid,Tier 1,1396326.0
46,27.1,Master,Manager,Tier 1,2843642.0
32,9.0,High School,Junior,Tier 2,435475.0
50,30.7,High School,Mid,Tier 1,597237.0
18,0.0,High School,Junior,Tier 2,554068.0
26,5.2,Master,Manager,Tier 2,2292852.0
36,13.7,Bachelor,Mid,Tier 1,593858.0
26,3.5,Bachelor,Mid,Tier 3,866980.0
19,0.0,Bachelor,Mid,Tier 3,778232.0
53,31.0,Bachelor,Manager,Tier 1,2704589.0
54,31.6,Bachelor,Mid,Tier 1,510407.0
29,7.4,Bachelor,Mid,Tier 1,750091.0
81,56.2,Master,Lead,Tier 2,1613327.0
37,15.0,Master,Lead,Tier 1,2116841.0
40,20.5,Bachelor,Mid,Tier 2,1493777.0
36,15.9,Bachelor,Mid,Tier 1,553713.0
18,0.0,High School,Mid,Tier 2,963241.0
44,26.0,High School,Senior,Tier 2,765875.0
36,12.8,High School,Junior,Tier 3,456418.0
69,46.8,PhD,Lead,Tier 1,2440722.0
17,0.0,High School,Lead,Tier 3,1440195.0
38,15.2,Bachelor,Mid,Tier 2,1550544.0
27,8.6,High School,Junior,Tier 2,347781.0
52,29.3,Bachelor,Manager,Tier 1,2071100.0
24,0.0,Bachelor,Mid,Tier 1,698741.0
57,36.7,Bachelor,Manager,Tier 1,1933975.0
19,0.0,High School,Junior,Tier 2,404094.0
38,17.7,High School,Mid,Tier 1,611742.0
46,23.4,High School,Junior,Tier 3,401337.0
21,0.0,High School,Lead,Tier 2,1854604.0
29,6.6,Bachelor,Mid,Tier 2,790835.0
26,5.1,High School,Junior,Tier 1,538816.0
28,5.9,High School,Junior,Tier 3,277786.0
26,4.8,Bachelor,Mid,Tier 2,824027.0
49,25.9,Bachelor,Junior,Tier 3,737380.0
28,6.9,Bachelor,Manager,Tier 1,1919414.0
57,35.0,Bachelor,Junior,Tier 2,568568.0
60,36.6,High School,Mid,Tier 3,654534.0
38,16.3,High School,Mid,Tier 3,697001.0
51,28.2,High School,Mid,Tier 2,737581.0
60,39.2,Bachelor,Mid,Tier 3,894526.0
37,16.7,Bachelor,Manager,Tier 1,2076813.0
44,23.0,High School,Mid,Tier 1,480322.0
19,0.0,Bachelor,Junior,Tier 1,507044.0
59,35.1,Master,Mid,Tier 2,1073202.0
50,26.7,High School,Junior,Tier 2,294439.0
35,11.4,Bachelor,Mid,Tier 1,1412265.0
46,22.9,Bachelor,Junior,Tier 2,651418.0
18,0.0,Bachelor,Mid,Tier 1,823453.0
32,11.4,High School,Junior,Tier 2,511530.0
32,9.2,Bachelor,Junior,Tier 2,546191.0
39,18.2,High School,Mid,Tier 2,1187830.0
25,3.7,High School,Mid,Tier 1,817913.0
30,7.9,Master,Manager,Tier 3,3066694.0
37,17.3,Bachelor,Senior,Tier 1,1823570.0
38,14.7,Bachelor,Manager,Tier 2,2775905.0
36,14.1,Bachelor,Junior,Tier 3,480879.0
56,31.9,Bachelor,Mid,Tier 3,1366392.0
35,11.0,Bachelor,Mid,Tier 2,1334486.0
56,31.3,High School,Mid,Tier 3,733591.0
17,0.0,High School,Junior,Tier 2,446849.0
46,24.2,Master,Manager,Tier 1,2877553.0
56,33.4,High School,Mid,Tier 2,596004.0
61,38.5,High School,Mid,Tier 2,300655.0
25,2.4,Bachelor,Mid,Tier 2,911986.0
27,8.5,High School,Junior,Tier 3,392267.0
50,25.7,High School,Junior,Tier 2,516174.0
33,8.5,Bachelor,Junior,Tier 3,542415.0
33,9.3,Bachelor,Mid,Tier 1,1544665.0
38,15.9,Bachelor,Junior,Tier 3,515815.0
51,30.0,High School,Junior,Tier 3,391473.0
27,6.2,Bachelor,Mid,Tier 3,754915.0
49,28.9,Master,Lead,Tier 3,1419001.0
26,3.8,High School,Junior,Tier 3,449253.0
42,19.2,Master,Manager,Tier 1,2929290.0
37,18.3,Bachelor,Junior,Tier 3,600367.0
38,10.4,Bachelor,Mid,Tier 3,1028094.0
48,26.1,High School,Junior,Tier 3,893070.0
41,19.9,Bachelor,Senior,Tier 2,1450541.0
33,14.7,High School,Manager,Tier 1,1787053.0
30,4.7,High School,Junior,Tier 2,410094.0
25,2.2,Bachelor,Lead,Tier 2,1608867.0
50,25.3,Bachelor,Mid,Tier 2,1370944.0
54,28.4,High School,Manager,Tier 2,2440810.0
37,14.6,High School,Mid,Tier 3,779654.0
59,38.7,Bachelor,Mid,Tier 3,1358616.0
17,0.0,High School,Mid,Tier 2,435148.0
56,32.9,High School,Mid,Tier 1,1319848.0
57,36.3,High School,Junior,Tier 1,477412.0
33,10.6,High School,Junior,Tier 1,428511.0
41,20.1,Master,Mid,Tier 1,1132087.0
45,25.3,Bachelor,Junior,Tier 1,537480.0
50,27.6,High School,Mid,Tier 1,645587.0
18,0.0,High School,Mid,Tier 1,482915.0
19,0.0,Bachelor,Mid,Tier 1,665539.0
26,5.3,Bachelor,Lead,Tier 3,1393137.0
41,21.1,Bachelor,Lead,Tier 1,2133170.0
29,8.9,High School,Mid,Tier 2,533867.0
27,2.6,Bachelor,Mid,Tier 2,738412.0
35,12.6,High School,Mid,Tier 2,573251.0
37,15.6,Bachelor,Mid,Tier 1,1418680.0
22,0.9,High School,Mid,Tier 3,508281.0
25,3.2,High School,Junior,Tier 2,375156.0
26,6.9,High School,Mid,Tier 2,476692.0
27,2.4,High School,Senior,Tier 1,895237.0
26,3.5,Bachelor,Mid,Tier 2,784117.0
51,25.6,High School,Mid,Tier 2,608709.0
45,24.2,High School,Manager,Tier 1,2567132.0
60,39.1,High School,Mid,Tier 2,817104.0
35,17.0,Bachelor,Manager,Tier 1,2473449.0
24,4.1,High School,Junior,Tier 2,355486.0
40,18.7,High School,Mid,Tier 3,490430.0
44,22.5,Bachelor,Lead,Tier 1,2102401.0
65,42.4,High School,Manager,Tier 1,1999953.0
52,30.3,Bachelor,Mid,Tier 3,1204406.0
38,16.6,High School,Mid,Tier 1,638178.0
18,0.0,High School,Mid,Tier 3,717346.0
24,2.4,Bachelor,Junior,Tier 3,601000.0
52,30.2,Bachelor,Manager,Tier 2,2039480.0
21,2.5,High School,Junior,Tier 1,487117.0
67,44.7,PhD,Mid,Tier 3,1669397.0
64,40.5,Bachelor,Mid,Tier 2,858660.0
25,3.5,Bachelor,Manager,Tier 1,2092311.0
34,12.1,Master,Mid,Tier 2,1492403.0
39,16.7,High School,Junior,Tier 2,264050.0
26,1.4,High School,Junior,Tier 3,420060.0
19,0.0,High School,Junior,Tier 2,271404.0
35,11.8,High School,Manager,Tier 1,2384556.0
26,3.6,Master,Lead,Tier 1,1558236.0
38,17.5,High School,Junior,Tier 2,390872.0
45,21.7,Bachelor,Junior,Tier 2,444171.0
18,0.0,High School,Junior,Tier 3,380171.0
51,30.1,Bachelor,Mid,Tier 1,755972.0
36,13.5,High School,Junior,Tier 1,328020.0
18,0.0,Bachelor,Junior,Tier 2,519198.0
37,15.5,Bachelor,Senior,Tier 3,1127356.0
37,12.5,Bachelor,Manager,Tier 2,2633480.0
39,15.3,High School,Mid,Tier 1,1269774.0
21,0.0,Bachelor,Junior,Tier 2,540434.0
46,22.3,PhD,Lead,Tier 1,2529717.0
33,12.1,High School,Mid,Tier 1,697406.0
23,0.0,Bachelor,Mid,Tier 1,724502.0
52,29.3,High School,Mid,Tier 2,518305.0
28,8.3,High School,Mid,Tier 1,658203.0
23,0.0,Bachelor,Lead,Tier 1,1387050.0
48,27.3,Bachelor,Manager,Tier 1,2461929.0
17,0.0,High School,Mid,Tier 2,688263.0
22,0.0,Bachelor,Lead,Tier 1,1376535.0
26,2.2,High School,Mid,Tier 3,1011582.0
40,18.6,High School,Mid,Tier 1,590830.0
90,65.9,High School,Manager,Tier 2,2012326.0
28,10.0,High School,Mid,Tier 3,529236.0
44,18.7,High School,Mid,Tier 1,558237.0
29,9.3,Bachelor,Junior,Tier 3,1212839.0
45,24.8,Bachelor,Manager,Tier 2,2610397.0
43,21.6,High School,Junior,Tier 2,987537.0
49,27.1,Bachelor,Manager,Tier 1,2757406.0
27,8.7,Bachelor,Senior,Tier 1,1146299.0
60,42.0,High School,Mid,Tier 3,627149.0
33,10.6,High School,Junior,Tier 2,199957.0
53,31.3,High School,Mid,Tier 3,1285090.0
19,0.0,Bachelor,Mid,Tier 2,702580.0
28,3.7,High School,Junior,Tier 3,458755.0
22,0.9,Bachelor,Junior,Tier 2,367978.0
48,26.5,High School,Mid,Tier 2,742526.0
19,0.0,Bachelor,Junior,Tier 3,449144.0
28,6.9,Bachelor,Junior,Tier 1,601724.0
58,36.6,Bachelor,Mid,Tier 1,861988.0
19,0.0,Bachelor,Mid,Tier 1,796890.0
22,0.0,Bachelor,Mid,Tier 3,796339.0
52,30.8,Master,Lead,Tier 3,2225590.0
31,12.2,Bachelor,Junior,Tier 2,418628.0
50,28.8,PhD,Lead,Tier 1,1959052.0
62,41.6,High School,Mid,Tier 2,731459.0
26,2.3,Bachelor,Lead,Tier 1,1419087.0
64,41.2,High School,Mid,Tier 2,188646.0
38,17.2,Bachelor,Mid,Tier 2,870804.0
44,19.3,Master,Lead,Tier 1,2041509.0
28,6.4,High School,Manager,Tier 1,1963856.0
19,0.0,High School,Junior,Tier 2,330568.0
39,16.9,High School,Junior,Tier 2,457630.0
50,28.6,High School,Mid,Tier 3,1079122.0
39,17.1,Master,Lead,Tier 2,2200668.0
36,12.8,Bachelor,Senior,Tier 3,845241.0
39,14.6,Bachelor,Junior,Tier 3,565330.0
51,28.8,Bachelor,Mid,Tier 3,749470.0
28,8.6,High School,Junior,Tier 2,486159.0
57,37.0,Master,Lead,Tier 2,2142599.0
40,17.3,Master,Lead,Tier 2,1633956.0
27,4.3,Bachelor,Mid,Tier 1,702413.0
32,9.1,Bachelor,Mid,Tier 3,834427.0
49,26.1,High School,Manager,Tier 1,1952934.0
34,12.6,High School,Junior,Tier 3,505558.0
24,4.1,High School,Junior,Tier 3,259276.0
54,36.0,High School,Junior,Tier 3,389028.0
52,28.3,High School,Mid,Tier 3,641555.0
43,22.3,High School,Junior,Tier 2,618321.0
35,14.1,Bachelor,Junior,Tier 2,796922.0
56,33.3,High School,Mid,Tier 1,436869.0
30,5.9,High School,Mid,Tier 2,526217.0
54,32.6,High School,Junior,Tier 2,180000.0
35,17.0,Bachelor,Mid,Tier 3,1028549.0
32,10.5,Bachelor,Mid,Tier 1,788110.0
44,20.4,Bachelor,Manager,Tier 1,2749675.0
32,9.7,High School,Junior,Tier 1,362059.0
60,35.7,High School,Mid,Tier 2,599538.0
40,18.0,Bachelor,Junior,Tier 2,693016.0
50,29.4,High School,Junior,Tier 3,274455.0
58,34.6,High School,Junior,Tier 3,879513.0
41,12.5,High School,Mid,Tier 1,1178618.0
28,6.6,High School,Mid,Tier 1,1201193.0
53,30.0,High School,Mid,Tier 2,666650.0
45,21.5,High School,Mid,Tier 2,602363.0
23,0.0,High School,Junior,Tier 1,298614.0
25,3.8,Bachelor,Mid,Tier 3,719313.0
40,17.2,Bachelor,Mid,Tier 1,1371237.0
28,7.9,Bachelor,Manager,Tier 2,2159272.0
27,6.9,High School,Mid,Tier 1,719928.0
19,0.0,Bachelor,Mid,Tier 3,717048.0
24,1.0,High School,Junior,Tier 2,315104.0
38,16.3,Bachelor,Lead,Tier 2,1342225.0
24,1.7,Master,Mid,Tier 1,1040015.0
18,0.0,High School,Junior,Tier 3,347647.0
58,39.8,High School,Manager,Tier 2,1808358.0
35,14.4,Master,Lead,Tier 3,2226061.0
43,20.1,High School,Junior,Tier 2,593719.0
45,19.2,High School,Junior,Tier 1,289080.0
24,1.6,High School,Mid,Tier 2,670951.0
63,39.8,High School,Junior,Tier 2,345403.0
40,17.9,High School,Junior,Tier 1,413331.0
21,0.0,Bachelor,Junior,Tier 3,647339.0
20,0.0,Bachelor,Junior,Tier 3,695919.0
42,19.2,High School,Junior,Tier 2,936448.0
47,24.6,High School,Mid,Tier 3,690047.0
48,25.5,High School,Mid,Tier 2,628495.0
61,39.1,High School,Mid,Tier 3,648334.0
35,16.0,Bachelor,Manager,Tier 1,2798278.0
46,23.0,Bachelor,Junior,Tier 1,464729.0
18,0.0,High School,Junior,Tier 3,492983.0
28,2.5,Bachelor,Lead,Tier 1,2083824.0
20,0.0,High School,Junior,Tier 2,542060.0
28,3.2,High School,Mid,Tier 2,649209.0
57,36.9,High School,Mid,Tier 2,581867.0
56,33.8,High School,Mid,Tier 2,704548.0
33,12.9,High School,Mid,Tier 1,531861.0
19,0.0,High School,Junior,Tier 3,351953.0
29,5.3,High School,Junior,Tier 2,309862.0
30,7.3,Bachelor,Mid,Tier 1,697286.0
53,33.7,Bachelor,Lead,Tier 2,1147280.0
25,3.4,High School,Junior,Tier 3,338717.0
44,23.0,High School,Senior,Tier 1,891179.0
22,2.1,Bachelor,Junior,Tier 2,641241.0
40,19.8,High School,Mid,Tier 1,489491.0
25,3.8,Bachelor,Mid,Tier 3,689944.0
30,10.8,High School,Junior,Tier 1,378843.0
51,28.9,Bachelor,Mid,Tier 1,841858.0
17,0.0,High School,Junior,Tier 2,421595.0
46,23.6,Bachelor,Senior,Tier 2,1694938.0
50,30.0,Bachelor,Mid,Tier 2,1455856.0
34,10.6,Bachelor,Manager,Tier 1,2125347.0
41,15.6,Bachelor,Mid,Tier 1,677665.0
32,11.3,Bachelor,Junior,Tier 1,755249.0
32,8.0,High School,Junior,Tier 1,180000.0
47,22.8,Bachelor,Lead,Tier 2,1602797.0
50,30.5,Bachelor,Mid,Tier 3,802803.0
77,56.9,High School,Junior,Tier 1,549307.0
33,10.3,High School,Manager,Tier 1,1872021.0
47,18.9,High School,Junior,Tier 3,352444.0
64,43.1,High School,Mid,Tier 2,467761.0
34,13.3,High School,Manager,Tier 1,1787382.0
34,13.0,High School,Lead,Tier 1,1279959.0
67,45.9,Master,Manager,Tier 1,2746948.0
37,14.6,High School,Junior,Tier 2,314627.0
34,11.2,Bachelor,Lead,Tier 1,1922771.0
50,25.8,PhD,Mid,Tier 2,1260070.0
60,36.6,Bachelor,Manager,Tier 2,2570789.0
46,24.6,Bachelor,Lead,Tier 1,1502706.0
44,22.7,Bachelor,Mid,Tier 1,1334859.0
43,22.6,High School,Mid,Tier 1,647642.0
48,23.2,Master,Lead,Tier 3,2168522.0
36,10.7,High School,Mid,Tier 3,692986.0
48,25.2,Bachelor,Mid,Tier 1,828125.0
37,13.0,Bachelor,Mid,Tier 2,895127.0
51,29.4,Master,Mid,Tier 2,1420696.0
52,27.4,Master,Lead,Tier 3,2105887.0
27,7.4,High School,Mid,Tier 1,553341.0
43,19.4,Master,Manager,Tier 2,2813615.0
23,4.2,High School,Junior,Tier 3,463234.0
66,45.0,Bachelor,Junior,Tier 3,1074791.0
37,12.9,High School,Junior,Tier 2,423989.0
35,17.0,Bachelor,Mid,Tier 3,728080.0
42,20.5,Bachelor,Lead,Tier 3,2018058.0
49,27.3,High School,Junior,Tier 2,398951.0
51,28.9,Bachelor,Lead,Tier 1,2230116.0
71,49.9,High School,Manager,Tier 1,1994868.0
50,29.1,Master,Lead,Tier 1,2325887.0
63,39.3,High School,Mid,Tier 3,643493.0
41,18.6,Master,Lead,Tier 1,1811339.0
24,2.2,Bachelor,Junior,Tier 3,656784.0
41,20.2,Bachelor,Junior,Tier 2,386443.0
33,12.2,Bachelor,Mid,Tier 3,837312.0
42,20.3,Bachelor,Mid,Tier 2,790612.0
23,0.0,Bachelor,Mid,Tier 2,824662.0
49,25.8,Bachelor,Lead,Tier 2,1270003.0
28,3.6,High School,Mid,Tier 1,424357.0
31,10.2,High School,Junior,Tier 1,412594.0
28,4.8,Bachelor,Mid,Tier 2,539299.0
37,14.6,High School,Mid,Tier 2,684398.0
19,0.0,Bachelor,Manager,Tier 1,2067739.0
51,29.0,Bachelor,Lead,Tier 1,1683731.0
25,3.0,Bachelor,Mid,Tier 1,796445.0
49,25.2,High School,Manager,Tier 1,1998263.0
47,25.5,High School,Mid,Tier 1,676977.0
48,25.4,High School,Junior,Tier 3,409421.0
41,18.8,High School,Mid,Tier 3,614115.0
32,12.3,High School,Mid,Tier 1,593230.0
46,25.0,High School,Junior,Tier 1,180000.0
17,0.0,High School,Mid,Tier 2,734666.0
34,11.7,High School,Junior,Tier 3,540362.0
44,25.2,High School,Mid,Tier 1,703657.0
23,0.4,Bachelor,Junior,Tier 3,560652.0
35,13.1,Bachelor,Lead,Tier 1,1433792.0
30,9.3,Bachelor,Mid,Tier 2,613867.0
34,12.4,Bachelor,Mid,Tier 1,607247.0
34,11.3,Master,Lead,Tier 1,2128721.0
39,15.5,Bachelor,Mid,Tier 1,774390.0
28,6.0,Bachelor,Mid,Tier 3,794816.0
53,32.3,Master,Manager,Tier 1,2783196.0
34,14.6,High School,Mid,Tier 3,443564.0
21,0.0,High School,Mid,Tier 3,520012.0
53,34.5,High School,Junior,Tier 3,393186.0
54,31.4,Master,Lead,Tier 2,2027598.0
32,11.8,Bachelor,Mid,Tier 2,771955.0
39,15.5,Bachelor,Lead,Tier 2,1643452.0
39,13.8,Bachelor,Junior,Tier 2,453608.0
29,4.4,High School,Manager,Tier 1,2154314.0
29,6.3,High School,Lead,Tier 3,1215452.0
43,22.0,High School,Mid,Tier 3,1176250.0
39,17.1,Master,Mid,Tier 2,957989.0
45,22.5,Bachelor,Manager,Tier 1,2044443.0
36,16.2,Bachelor,Junior,Tier 1,346562.0
43,21.0,Bachelor,Mid,Tier 2,780034.0
31,9.6,High School,Mid,Tier 3,636330.0
39,21.0,High School,Manager,Tier 1,2498457.0
32,10.0,Bachelor,Lead,Tier 1,2058603.0
45,21.6,High School,Mid,Tier 2,1253070.0
19,0.0,High School,Junior,Tier 2,308588.0
43,22.5,Bachelor,Lead,Tier 2,2126308.0
32,10.6,Bachelor,Mid,Tier 3,676883.0
43,21.3,Bachelor,Mid,Tier 3,964240.0
34,15.0,Bachelor,Mid,Tier 2,874818.0
66,46.7,Bachelor,Lead,Tier 3,1330408.0
37,14.8,Bachelor,Mid,Tier 3,1497596.0
46,22.7,Bachelor,Manager,Tier 1,2098893.0
23,1.9,Bachelor,Lead,Tier 2,1513622.0
41,17.7,Bachelor,Lead,Tier 2,2028227.0
63,42.8,High School,Junior,Tier 2,358861.0
55,33.8,High School,Junior,Tier 2,967547.0
35,17.0,Master,Lead,Tier 2,2100628.0
28,8.9,High School,Mid,Tier 3,990481.0
37,12.8,Bachelor,Lead,Tier 1,1995956.0
43,20.0,Bachelor,Lead,Tier 3,1975878.0
30,4.2,Bachelor,Mid,Tier 1,649216.0
36,9.7,Master,Lead,Tier 2,2299845.0
54,32.2,Bachelor,Mid,Tier 2,1379290.0
36,11.6,Bachelor,Mid,Tier 3,1293902.0
78,59.3,Bachelor,Manager,Tier 2,2612623.0
77,57.3,Bachelor,Manager,Tier 2,2691771.0
28,5.5,High School,Junior,Tier 3,312775.0
39,16.3,High School,Mid,Tier 1,941488.0
37,18.0,Bachelor,Senior,Tier 1,1193571.0
34,15.4,Bachelor,Lead,Tier 1,2043748.0
22,0.0,Bachelor,Lead,Tier 2,1482430.0
54,29.9,Bachelor,Junior,Tier 2,585644.0
21,0.0,Bachelor,Mid,Tier 3,576844.0
36,14.9,High School,Mid,Tier 3,517563.0
62,39.0,High School,Mid,Tier 2,598400.0
40,18.9,Bachelor,Mid,Tier 2,1326099.0
47,28.9,Bachelor,Lead,Tier 1,1313862.0
38,13.2,Bachelor,Mid,Tier 2,1436109.0
28,5.1,High School,Mid,Tier 1,668312.0
46,21.2,Bachelor,Lead,Tier 3,1404318.0
22,0.0,Bachelor,Junior,Tier 3,670299.0
37,14.4,High School,Mid,Tier 3,663946.0
69,45.5,High School,Junior,Tier 3,446387.0
43,22.0,Bachelor,Manager,Tier 2,2605065.0
53,31.3,Bachelor,Junior,Tier 2,1129633.0
20,0.0,High School,Mid,Tier 1,699993.0
22,0.0,Bachelor,Lead,Tier 1,1291082.0
48,25.6,High School,Mid,Tier 3,439873.0
40,17.3,Master,Lead,Tier 2,2151067.0
39,16.5,Bachelor,Junior,Tier 2,570074.0
57,35.8,High School,Senior,Tier 1,1488299.0
23,0.0,High School,Junior,Tier 3,492647.0
25,3.6,Bachelor,Lead,Tier 2,2078989.0
